,نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
0,شقة,الرياض,حي المروج,جنوبية,4,1.0,3,249,True,False,True,ثالث,0.0,False,1434000
1,شقة,الرياض,حي العارض,شمالية غربية,3,1.0,3,199,False,False,True,علوي,0.0,False,980000
2,شقة,الرياض,حي النرجس,مجهول,3,1.0,3,145,True,False,True,ارضي,2.0,False,1050000
3,شقة,الرياض,حي النرجس,شمالية,3,1.0,3,101,True,False,False,ارضي,0.0,True,1200000
4,شقة,الرياض,حي الياسمين,شرقية,4,1.0,3,147,True,False,True,علوي,2.0,True,1200000
5,شقة,الرياض,حي الياسمين,مجهول,3,1.0,2,118,True,False,True,ثالث,0.0,False,850000
6,شقة,الرياض,حي النرجس,شرقية,3,1.0,3,112,True,False,False,ارضي,0.0,False,885000
7,شقة,الرياض,حي النرجس,شرقية,2,1.0,3,100,True,False,True,ثالث,0.0,False,1200000
9,شقة,الرياض,حي العقيق,مجهول,3,1.0,3,115,False,True,True,مجهول,11.0,False,1100000
10,شقة,الرياض,حي القيروان,شرقية,4,1.0,3,150,True,False,False,ارضي,0.0,False,1300000
11,شقة,الرياض,حي النرجس,مجهول,2,2.0,3,157,True,False,False,ارضي,0.0,False,950000
12,شقة,الرياض,حي الملقا,شمالية غربية,4,1.0,3,124,True,False,True,علوي,0.0,False,959000
13,شقة,الرياض,حي الملقا,مجهول,3,1.0,3,140,False,False,True,علوي,0.0,False,1190000
14,شقة,الرياض,حي الملقا,مجهول,3,1.0,3,134,True,False,True,مجهول,1.0,False,1320000
15,شقة,الرياض,حي النرجس,جنوبية,4,1.0,3,120,True,False,False,ارضي,0.0,False,850000
16,شقة,الرياض,حي النخيل,ثلاث شوارع,2,1.0,3,140,False,True,True,علوي,0.0,False,3300000
17,شقة,الرياض,حي الملقا,مجهول,3,1.0,3,116,True,True,True,ارضي,2.0,True,1100000
18,شقة,الرياض,حي القيروان,مجهول,3,1.0,3,100,True,True,True,ارضي,0.0,False,850000
19,شقة,الرياض,حي الياسمين,مجهول,3,1.0,3,112,False,False,False,ارضي,0.0,False,950000
20,شقة,الرياض,الرياض,مجهول,2,1.0,3,135,False,False,False,مجهول,0.0,False,1375000
21,شقة,الرياض,حي الصحافة,مجهول,2,1.0,3,142,True,True,True,مجهول,7.0,False,1980000
22,شقة,الرياض,حي الياسمين,جنوبية,4,1.0,4,201,True,False,True,علوي,3.0,False,1400000
23,شقة,الرياض,حي العارض,جنوبية شرقية,3,2.0,3,167,True,True,False,مجهول,0.0,True,990000
24,شقة,الرياض,حي القيروان,مجهول,3,2.0,3,228,True,True,True,علوي,0.0,True,1850000
25,شقة,الرياض,حي الملقا,غربية,3,2.0,3,178,True,True,True,مجهول,0.0,False,1499000
26,شقة,الرياض,حي القيروان,شرقية,3,1.0,3,104,True,True,False,ارضي,0.0,False,1100000
27,شقة,الرياض,حي النرجس,جنوبية,3,1.0,3,185,True,False,True,علوي,2.0,True,1000000
28,شقة,الرياض,حي النرجس,مجهول,3,1.0,2,129,True,False,True,علوي,0.0,False,830000
29,شقة,الرياض,حي النفل,شمالية,3,1.0,4,131,False,True,True,ثالث,0.0,False,1070000
30,شقة,الرياض,حي الملقا,شرقية,4,1.0,3,259,False,False,True,ثالث,0.0,False,1450000
31,شقة,الرياض,حي الياسمين,مجهول,3,1.0,3,124,False,True,False,ارضي,0.0,False,990000
32,شقة,الرياض,حي الملقا,مجهول,3,1.0,3,121,False,False,True,علوي,0.0,False,1249000
33,شقة,الرياض,الرياض,غربية,3,1.0,4,166,True,False,True,علوي,0.0,True,1190000
35,شقة,الرياض,حي النرجس,مجهول,4,2.0,4,155,True,True,True,ارضي,0.0,False,1205000
36,شقة,الرياض,حي النرجس,جنوبية,2,2.0,3,117,False,False,True,ثالث,0.0,False,899000
37,شقة,الرياض,حي النرجس,جنوبية,3,1.0,3,137,True,False,False,علوي,1.0,False,850000
38,شقة,الرياض,حي حطين,مجهول,3,1.0,3,174,True,False,True,ارضي,0.0,False,1350000
39,شقة,الرياض,حي الربيع,جنوبية,3,2.0,3,264,True,True,True,4,0.0,False,1800000
40,شقة,الرياض,حي العقيق,جنوبية,3,1.0,3,139,True,True,True,ثالث,10.0,False,800000
41,شقة,الرياض,حي الربيع,جنوبية,2,1.0,2,123,True,False,False,ثاني,0.0,False,1379000
42,شقة,الرياض,حي النرجس,شمالية,3,1.0,3,145,True,False,True,ارضي,2.0,False,1050000
43,شقة,الرياض,حي القيروان,شمالية,4,1.0,2,199,True,False,False,علوي,0.0,False,1500000
44,شقة,الرياض,الرياض,مجهول,1,1.0,4,178,True,False,False,ارضي,2.0,False,1250000
45,شقة,الرياض,حي العقيق,شمالية,4,1.0,3,220,True,True,True,ثالث,0.0,False,800000
46,شقة,الرياض,حي الملقا,شمالية,3,1.0,3,150,False,False,False,ارضي,0.0,False,1150000
47,شقة,الرياض,حي الصحافة,جنوبية,3,1.0,3,143,False,False,False,5+,9.0,True,2630000
48,شقة,الرياض,حي الياسمين,جنوبية,4,2.0,5+,178,True,True,True,علوي,0.0,False,900000
49,شقة,الرياض,حي العارض,شمالية,3,1.0,3,142,True,True,True,علوي,0.0,False,799000
50,شقة,الرياض,حي المروج,مجهول,3,1.0,3,116,True,False,False,ارضي,0.0,False,969000
51,شقة,الرياض,حي الملقا,شمالية,2,1.0,3,222,False,False,True,علوي,0.0,False,1199000
52,شقة,الرياض,حي الملقا,شمالية,3,1.0,3,161,False,False,False,علوي,11.0,False,850000
53,شقة,الرياض,حي العارض,جنوبية,3,1.0,3,188,True,True,False,مجهول,0.0,False,1190000
54,شقة,الرياض,حي النرجس,شمالية,3,1.0,3,188,True,False,True,ثالث,0.0,False,980000
55,شقة,الرياض,حي النخيل,مجهول,5,1.0,4,216,False,False,False,ارضي,3.0,False,1100000
56,شقة,الرياض,الرياض,شرقية,3,1.0,2,104,True,True,True,ثالث,7.0,False,715000
57,شقة,الرياض,حي الملقا,مجهول,2,1.0,2,94,True,True,True,ارضي,0.0,True,1300000
58,شقة,الرياض,حي العارض,مجهول,3,1.0,3,176,False,False,False,علوي,0.0,False,1079000
59,شقة,الرياض,حي المصيف,شرقية,2,1.0,2,103,False,False,True,مجهول,0.0,False,849000
60,شقة,الرياض,حي النرجس,مجهول,3,1.0,3,131,True,False,False,ارضي,1.0,False,890000
62,شقة,الرياض,حي النرجس,ثلاث شوارع,2,1.0,2,151,True,False,True,ارضي,0.0,False,896000
63,شقة,الرياض,الرياض,جنوبية,4,1.0,3,151,True,True,True,ثالث,0.0,True,1369000
64,شقة,الرياض,حي النرجس,مجهول,3,2.0,4,145,False,False,False,ارضي,0.0,False,1100000
65,شقة,الرياض,حي العليا,ثلاث شوارع,4,2.0,5+,217,True,True,True,مجهول,5.0,True,3500000
66,شقة,الرياض,حي النرجس,شمالية,3,1.0,3,240,True,True,False,ارضي,0.0,False,1350000
67,شقة,الرياض,حي العارض,شمالية,3,1.0,3,120,True,True,True,ارضي,0.0,False,1000000
68,شقة,الرياض,حي النرجس,مجهول,3,1.0,3,214,False,True,True,علوي,0.0,False,959000
69,شقة,الرياض,حي الفلاح,مجهول,3,1.0,3,132,False,False,False,علوي,0.0,False,1065000
70,شقة,الرياض,حي الملقا,شرقية,3,1.0,4,148,True,False,True,علوي,0.0,True,1350000
71,شقة,الرياض,حي العارض,مجهول,3,1.0,2,109,True,False,True,علوي,4.0,False,820000
72,شقة,الرياض,حي الملقا,شمالية,3,1.0,3,161,False,False,True,علوي,0.0,False,1429000
73,شقة,الرياض,حي العارض,جنوبية,3,1.0,3,200,True,False,True,ارضي,0.0,False,1100000
74,شقة,الرياض,حي الملقا,مجهول,3,1.0,3,114,False,False,False,مجهول,0.0,False,850000
75,شقة,الرياض,حي الملقا,غربية,3,1.0,3,210,True,False,True,مجهول,0.0,True,1700000
76,شقة,الرياض,حي النرجس,شرقية,3,1.0,3,132,True,False,True,ارضي,0.0,False,985000
77,شقة,الرياض,حي حطين,شمالية غربية,3,2.0,3,155,True,False,False,علوي,0.0,False,1260000
78,شقة,الرياض,حي النرجس,مجهول,2,2.0,2,129,False,False,True,علوي,0.0,False,830000
79,شقة,الرياض,الرياض,مجهول,4,1.0,3,140,False,True,True,علوي,0.0,False,1250000
80,شقة,الرياض,حي العارض,جنوبية,3,2.0,3,147,True,True,True,مجهول,0.0,False,959000
81,شقة,الرياض,حي الملقا,غربية,3,2.0,3,117,True,False,True,ارضي,0.0,False,1179000
83,شقة,الرياض,حي حطين,شرقية,3,1.0,2,104,True,True,True,ثالث,0.0,False,745000
84,شقة,الرياض,حي الندى,شرقية,3,1.0,3,135,True,True,True,ارضي,3.0,False,1300000
85,شقة,الرياض,حي الملقا,شمالية,3,1.0,3,129,True,False,True,علوي,0.0,True,1200000
86,شقة,الرياض,حي العارض,جنوبية غربية,4,1.0,4,188,False,True,True,ثاني,0.0,False,1200000
87,شقة,الرياض,الرياض,مجهول,3,1.0,3,134,False,True,True,ارضي,0.0,False,1350000
88,شقة,الرياض,الرياض,شرقية,3,1.0,5+,428,True,False,False,علوي,0.0,False,1650000
89,شقة,الرياض,حي الملك فهد,مجهول,3,1.0,3,100,True,False,True,علوي,0.0,False,980000
90,شقة,الرياض,الرياض,شمالية,3,1.0,2,104,False,True,True,ثالث,1.0,False,715000
93,شقة,الرياض,حي الياسمين,شمالية,4,1.0,4,204,True,False,False,ارضي,13.0,True,1550000
94,شقة,الرياض,حي النخيل,مجهول,3,2.0,3,169,True,False,False,ثالث,0.0,False,1490000
95,شقة,الرياض,حي العارض,شرقية,3,1.0,4,341,False,False,False,ارضي,0.0,False,1450000
96,شقة,الرياض,حي الوادي,جنوبية,3,1.0,3,126,True,False,False,علوي,2.0,True,970000
97,شقة,الرياض,حي العارض,شرقية,3,1.0,3,120,True,True,True,ارضي,0.0,False,1100000
98,شقة,الرياض,الرياض,مجهول,4,1.0,3,126,True,False,True,علوي,7.0,True,1350000
99,شقة,الرياض,حي الملقا,شرقية,4,2.0,4,232,True,True,True,ثالث,1.0,True,1500000
100,شقة,الرياض,حي العقيق,شرقية,3,1.0,3,135,True,False,True,علوي,11.0,True,850000
101,شقة,الرياض,الرياض,جنوبية,3,2.0,3,130,True,False,False,ارضي,0.0,False,840000
102,شقة,الرياض,حي المصيف,شمالية شرقية,3,1.0,2,107,True,True,True,ارضي,7.0,False,750000
103,شقة,الرياض,حي النفل,شمالية,2,1.0,3,93,False,False,True,4,0.0,False,1070000
104,شقة,الرياض,حي الملقا,شمالية غربية,3,2.0,3,124,False,False,True,ثالث,0.0,False,950000
105,شقة,الرياض,حي الملقا,مجهول,3,1.0,3,140,True,True,True,علوي,0.0,False,850000
108,شقة,الرياض,حي النرجس,غربية,6,2.0,3,256,False,False,True,علوي,0.0,False,1399000
109,شقة,الرياض,حي النرجس,مجهول,3,3.0,3,130,True,False,False,ارضي,0.0,False,890000
110,شقة,الرياض,حي العقيق,شمالية,4,2.0,4,139,True,False,True,مجهول,8.0,True,800000
111,شقة,الرياض,حي النفل,شمالية,3,1.0,3,126,False,False,False,مجهول,2.0,False,970000
112,شقة,الرياض,حي النفل,شمالية,3,1.0,3,174,True,False,True,مجهول,0.0,False,850000
113,شقة,الرياض,حي الملقا,جنوبية شرقية,3,1.0,3,113,True,False,True,ارضي,0.0,False,1020000
114,شقة,الرياض,حي حطين,شرقية,2,2.0,2,104,True,True,True,4,0.0,False,715000
115,شقة,الرياض,حي العارض,شرقية,2,1.0,3,61,True,False,False,علوي,0.0,False,750000
116,شقة,الرياض,الرياض,شرقية,3,1.0,3,163,False,False,True,علوي,0.0,False,985000
117,شقة,الرياض,حي النرجس,جنوبية,2,2.0,3,117,True,False,True,ثالث,0.0,False,849000
118,شقة,الرياض,حي الملقا,شرقية,4,2.0,3,168,True,True,True,علوي,0.0,False,1200000
120,شقة,الرياض,حي النرجس,ثلاث شوارع,1,1.0,3,151,True,False,True,ارضي,0.0,False,900000
121,شقة,الرياض,حي النرجس,شمالية,3,2.0,5+,226,True,True,False,ارضي,8.0,False,1650000
122,شقة,الرياض,حي النرجس,مجهول,2,1.0,3,129,True,False,False,علوي,0.0,False,830000
123,شقة,الرياض,حي التعاون,شمالية,3,1.0,3,140,True,False,False,ارضي,4.0,False,1200000
124,شقة,الرياض,حي النخيل,جنوبية,3,2.0,5+,216,True,False,True,ارضي,3.0,False,1200000
125,شقة,الرياض,حي المغرزات,شرقية,3,1.0,3,218,True,True,True,4,0.0,False,1379000
126,شقة,الرياض,حي العارض,جنوبية,3,1.0,3,216,True,False,True,ارضي,3.0,False,1180000
127,شقة,الرياض,حي الملقا,شرقية,1,1.0,3,86,True,True,True,علوي,0.0,False,900000
128,شقة,الرياض,حي العارض,جنوبية,3,2.0,2,129,True,False,True,ارضي,0.0,False,1000000
130,شقة,الرياض,الرياض,مجهول,3,2.0,2,176,True,True,True,علوي,1.0,False,1350000
131,شقة,الرياض,حي النرجس,جنوبية غربية,3,1.0,3,172,False,False,False,ارضي,0.0,False,1100000
132,شقة,الرياض,حي الياسمين,شمالية,3,2.0,4,212,True,False,True,ارضي,10.0,False,1000000
133,شقة,الرياض,حي الملقا,شرقية,3,1.0,3,134,True,False,False,علوي,0.0,False,980000
135,شقة,الرياض,حي القيروان,شرقية,3,1.0,3,139,True,False,False,ارضي,1.0,False,1600000
138,شقة,الرياض,الرياض,شرقية,4,1.0,3,134,True,True,True,ثالث,1.0,False,1100000
140,شقة,الرياض,الرياض,مجهول,1,1.0,3,151,False,False,False,مجهول,0.0,False,896000
141,شقة,الرياض,حي التعاون,شرقية,4,2.0,3,126,True,False,True,علوي,5.0,False,900000
142,شقة,الرياض,حي الملقا,شرقية,3,1.0,3,135,True,False,True,ارضي,0.0,True,1176000
143,شقة,الرياض,حي النرجس,غربية,3,1.0,3,115,True,True,True,ارضي,0.0,False,799000
144,شقة,الرياض,حي الصحافة,جنوبية شرقية,1,1.0,2,81,True,True,True,مجهول,7.0,True,1600000
145,شقة,الرياض,حي العارض,مجهول,2,1.0,3,133,False,True,True,ارضي,0.0,False,790000
146,شقة,الرياض,حي النرجس,مجهول,3,2.0,3,147,True,False,False,ارضي,0.0,False,920000
149,شقة,الرياض,حي الياسمين,مجهول,4,1.0,3,112,False,False,True,ارضي,0.0,False,955000
150,شقة,الرياض,حي العارض,جنوبية,3,1.0,3,126,False,True,False,ارضي,0.0,False,900000
151,شقة,الرياض,الرياض,شرقية,4,1.0,5+,181,False,False,True,علوي,0.0,False,1300000
152,شقة,الرياض,حي النرجس,ثلاث شوارع,2,1.0,3,167,True,True,True,علوي,0.0,False,1255600
154,شقة,الرياض,حي العارض,شمالية,3,1.0,4,203,False,True,True,ثالث,0.0,False,1150000
156,شقة,الرياض,حي النرجس,شمالية,3,1.0,2,120,True,True,True,ارضي,0.0,False,909000
157,شقة,الرياض,حي النرجس,جنوبية,3,1.0,3,134,False,False,True,علوي,0.0,False,890000
158,شقة,الرياض,حي النرجس,شرقية,3,1.0,4,178,True,False,True,ارضي,0.0,False,900000
159,شقة,الرياض,حي الياسمين,مجهول,6,1.0,5+,180,True,False,False,ارضي,10.0,True,1100000
160,شقة,الرياض,حي الملقا,شمالية,4,1.0,3,179,True,True,True,ثالث,0.0,False,1155000
161,شقة,الرياض,حي الفلاح,مجهول,3,1.0,3,112,True,False,False,علوي,0.0,False,1069000
162,شقة,الرياض,حي الملقا,غربية,3,1.0,3,190,True,True,True,علوي,0.0,False,1600000
163,شقة,الرياض,حي الربيع,جنوبية,3,1.0,3,114,True,False,True,ارضي,0.0,False,1000000
164,شقة,الرياض,حي الياسمين,جنوبية,3,1.0,3,172,True,True,False,مجهول,3.0,False,1250000
165,شقة,الرياض,حي الياسمين,مجهول,4,1.0,3,154,True,False,True,ارضي,0.0,False,900000
166,شقة,الرياض,حي النرجس,شرقية,3,2.0,3,137,False,False,False,ارضي,0.0,False,980000
167,شقة,الرياض,الرياض,مجهول,3,1.0,4,181,True,True,True,5+,0.0,True,2550000
168,شقة,الرياض,حي القيروان,مجهول,3,1.0,2,126,False,False,False,مجهول,2.0,False,950000
169,شقة,الرياض,حي النرجس,مجهول,4,1.0,4,137,False,False,False,ارضي,0.0,False,1070000
170,شقة,الرياض,حي الملقا,شرقية,3,1.0,3,128,True,False,False,علوي,7.0,False,860000
171,شقة,الرياض,حي العارض,شمالية,3,1.0,2,120,False,False,True,ارضي,0.0,False,910000
172,شقة,الرياض,حي النرجس,جنوبية شرقية,1,1.0,2,170,True,False,True,ثالث,0.0,False,930000
173,شقة,الرياض,حي الندى,جنوبية,3,2.0,3,138,True,True,True,علوي,0.0,False,1089000
174,شقة,الرياض,حي العارض,شرقية,3,1.0,3,280,False,True,True,علوي,0.0,False,1289000
175,شقة,الرياض,حي القيروان,مجهول,3,1.0,3,130,True,True,True,ارضي,0.0,True,1328465
177,شقة,الرياض,حي النرجس,مجهول,2,1.0,2,129,True,False,False,ارضي,0.0,False,830000
179,شقة,الرياض,حي العارض,شرقية,3,1.0,3,144,False,False,False,ارضي,0.0,False,900000
180,شقة,الرياض,حي الملقا,مجهول,3,2.0,3,169,False,False,True,علوي,0.0,False,1350000
181,شقة,الرياض,حي العارض,جنوبية,4,1.0,4,200,False,True,False,ارضي,0.0,False,1200000
183,شقة,الرياض,حي العارض,مجهول,4,1.0,3,138,True,False,False,علوي,3.0,False,750000
184,شقة,الرياض,حي النرجس,شمالية,3,1.0,3,138,True,True,True,ارضي,3.0,False,1200000
186,شقة,الرياض,حي النرجس,شمالية,4,2.0,4,163,True,False,False,ثالث,0.0,False,900000
187,شقة,الرياض,حي النرجس,شمالية,4,1.0,3,179,True,True,True,ثالث,0.0,False,1155000
189,شقة,الرياض,حي الياسمين,مجهول,2,1.0,3,100,True,False,False,ارضي,5.0,False,850000
190,شقة,الرياض,حي العارض,جنوبية,4,2.0,4,200,True,True,True,علوي,0.0,False,1190000
191,شقة,الرياض,حي القيروان,مجهول,3,1.0,3,135,True,False,True,ثالث,3.0,True,1400000
192,شقة,الرياض,حي النرجس,ثلاث شوارع,2,1.0,3,151,True,True,True,علوي,0.0,False,1179000
193,شقة,الرياض,حي العقيق,شمالية غربية,3,1.0,3,162,True,True,True,ثالث,0.0,False,700000
196,شقة,الرياض,حي العارض,جنوبية,3,2.0,3,134,True,False,False,ارضي,0.0,True,1200000
198,شقة,الرياض,الرياض,مجهول,3,1.0,3,195,True,True,True,علوي,0.0,True,1199000
200,شقة,الرياض,حي الوادي,شمالية,4,1.0,2,161,True,True,True,ثالث,0.0,False,800000
201,شقة,الرياض,حي حطين,شرقية,3,1.0,3,141,True,False,True,ارضي,0.0,False,1400000
203,شقة,الرياض,حي المصيف,جنوبية,2,1.0,2,100,True,False,True,مجهول,2.0,True,1100000
204,شقة,الرياض,حي النرجس,جنوبية,3,2.0,3,200,True,False,False,ارضي,1.0,False,950000
206,شقة,الرياض,حي الندى,جنوبية,2,1.0,3,109,True,False,True,ارضي,0.0,False,839000
207,شقة,الرياض,الرياض,مجهول,3,2.0,3,149,True,False,True,علوي,0.0,False,1250000
208,شقة,الرياض,حي العارض,جنوبية,2,1.0,2,133,False,False,True,مجهول,0.0,False,799000
209,شقة,الرياض,حي القيروان,شمالية غربية,3,1.0,4,280,True,True,False,اول,0.0,False,1730000
212,شقة,الرياض,حي الملقا,شمالية,4,1.0,4,157,False,False,True,علوي,0.0,False,1300000
213,شقة,الرياض,حي الندى,جنوبية شرقية,3,2.0,3,241,True,True,True,ثالث,0.0,False,1429000
215,شقة,الرياض,حي النرجس,مجهول,3,1.0,3,131,True,False,False,ارضي,0.0,True,890000
216,شقة,الرياض,حي حطين,شرقية,3,1.0,3,104,True,True,False,ارضي,0.0,True,1400000
217,شقة,الرياض,حي النرجس,شرقية,4,2.0,3,144,False,False,True,علوي,0.0,False,1150000
218,شقة,الرياض,حي حطين,مجهول,3,2.0,4,166,False,False,True,ارضي,0.0,False,1299000
219,شقة,الرياض,حي الملقا,شرقية,3,1.0,3,169,True,False,True,ارضي,0.0,False,1179000
220,شقة,الرياض,حي العارض,جنوبية,3,1.0,3,153,True,True,False,مجهول,0.0,True,1160000
222,شقة,الرياض,حي القيروان,شمالية,3,1.0,3,210,False,False,True,ثالث,0.0,False,1390000
223,شقة,الرياض,الرياض,شمالية شرقية,3,1.0,3,147,False,False,False,ارضي,0.0,False,957000
224,شقة,الرياض,حي الملقا,مجهول,3,2.0,3,119,True,False,False,ارضي,10.0,False,799000
225,شقة,الرياض,حي المرسلات,مجهول,3,1.0,3,128,False,False,True,علوي,0.0,False,1400000
226,شقة,الرياض,حي المغرزات,غربية,3,1.0,3,154,True,True,True,علوي,0.0,False,1179000
227,شقة,الرياض,حي التعاون,شمالية,4,1.0,3,191,True,True,True,ثالث,0.0,False,1620000
228,شقة,الرياض,حي النرجس,جنوبية شرقية,3,1.0,4,160,False,False,True,مجهول,0.0,False,1100000
230,شقة,الرياض,حي حطين,شرقية,3,2.0,3,170,False,False,True,ثالث,0.0,False,1390000
231,شقة,الرياض,حي النرجس,شمالية غربية,3,2.0,3,176,False,False,True,علوي,0.0,False,1233000
233,شقة,الرياض,حي الملقا,غربية,3,2.0,3,117,True,False,True,ثالث,0.0,True,1179000
234,شقة,الرياض,الرياض,جنوبية غربية,3,2.0,3,146,True,False,True,علوي,0.0,False,1250000
235,شقة,الرياض,حي النرجس,شمالية,3,1.0,3,132,True,False,False,مجهول,0.0,False,1029000
237,شقة,الرياض,الرياض,ثلاث شوارع,4,1.0,4,151,False,False,False,مجهول,0.0,False,896000
238,شقة,الرياض,حي الياسمين,مجهول,3,2.0,3,191,True,False,False,ارضي,0.0,False,1189000
239,شقة,الرياض,حي الياسمين,شمالية,3,1.0,3,174,True,False,True,مجهول,0.0,False,850000
242,شقة,الرياض,حي النرجس,شرقية,5,1.0,4,141,False,False,True,ارضي,0.0,False,985000
